image_number,nft_name,nft_description,attributes.signed,attributes.reversed,attributes.augmented_reality
0,Actinolite,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,FALSE,FALSE
1,Adamite,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,FALSE,FALSE
2,Albitius,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,FALSE,FALSE
3,Alexandrite,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,FALSE,FALSE
4,Almandine Garnet,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,FALSE,FALSE
5,Amber,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,FALSE,FALSE
6,Amblygonite,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,FALSE,FALSE
7,Amethyst,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,FALSE,FALSE
8,Aracnite,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,FALSE,FALSE
9,Avvy,"The Outsiders are 1:1 handcrafted art pieces made by the artist Juliana Plexxo. Inspired by the impressionist and expressionist art movement, combining it with advanced tech. Our art mix the best of the past with the technology of the future.",FALSE,FALSE,FALSE
